uuid,longitude,latitude,64ec825f-740c-477a-b7c2-2121154ee8a7,fd99c048-3b6b-4943-8b93-838daefba76b,1241bc5a-5571-4cee-bce0-d0ab82000d8c,127035c1-a7c7-41db-9976-ab4cd14b7271,d7376c09-b449-4948-8706-15777971f03c,8d3cd774-8fb2-41d4-856a-26b299bfb8d8,d27a7d15-3fc1-4880-88bd-e981ff6ed5f9,a9b14f40-30ee-4550-b998-55f2981c6025,69d4d0be-ab2b-4e65-ac9e-2a1fca892e90,ce4a5ad3-003a-490b-92b4-c00d5a17ce1b,bc554df8-1200-4072-9afc-5759e749b43d,9533193d-3024-4fe2-a0c3-c6d660087112,cba0a43e-e52f-476a-a047-8f7138f3f646,14a9f9a8-fb49-45fc-b946-51c791e60990,b30c887a-3f9b-4890-a2c1-60b5f09d98b6,c5bd15b5-5019-4421-8c85-25a21b4642e1,e1dc26cc-82e0-4d77-b6ac-9af9d7c0832a,e43c09b0-5baa-4738-962a-c94388e93c30,e6c55dfa-c64b-44e1-913b-58e216d614e5,e9dbe860-031d-42d2-a96c-8a958df9f764,c73fa27f-764e-44c3-9e2d-73d6faa8ae84,ee34d5a4-be1a-2a3a-e040-0b0a3dfe5d3f,f027019a-34a2-45e8-b051-9270f8634cf7,f254c89f-274e-45ba-b1f6-b73deafdef93,fa6624d4-7bb9-4b17-9e56-31e0040428d1,fcdaddc5-7dc1-49f9-8286-71e8664f9e17,ff55d404-3609-48b2-b16a-ef4a9f2008a0,72f7a2d4-1b77-4556-a45e-8abfb804fb3b,a51fe747-5541-45fc-a225-7e73d1b3df8a,48f7ddf7-1ef2-4e29-b62b-556f4c7193f0,71d6e839-fa23-4192-b875-3dfe1b495722,8ff8a3d4-184d-4676-8906-34bfcc752423,fdc30c82-9cdf-4fd9-a000-bc2bfe0fc7bf,b605dd15-57f6-495a-b1f9-645731f11272,f13e6623-a528-46e2-9b40-e0b8ebde0504,c8608399-adf3-4162-8321-0f313ff043ac,9f1a9948-4a60-4db6-8ac5-0fdffcf51613,67765d63-fec8-4545-9c09-940ea88a8566,fb2a947e-f997-4d6a-a4fc-596ea54ff751,cb138b9c-6bbb-4394-8db2-cdd480e4e7c5,d2ffa861-746f-40d0-320e-73c0218d94e8,19a63af8-7a51-434f-b16e-162b8785a562,748b6d98-64f6-4030-86c7-26887a915eb3,79fb1f24-bebb-489e-841f-728f9053b555,51d4b60f-a095-1aa0-e100-80009459e03a,88c1193f-7e5d-4a98-b46e-f49c292980dc,bf8bcacf-84c0-4581-9c85-55d2f1e5a003,92b97c69-05fb-4a6e-994a-f2a5a2581d0e,326ab132-2671-42a1-983a-9d0bdd29a121,2211d99b-c1c3-4316-bcff-a38eb5f0135f,af55b83b-f6d2-4bf0-912d-b89156ade413,d2809537-9960-48ff-ba5c-b471666e414a,c27625b7-9c45-4260-8cd1-cd3543dd2ad2,7d09ea41-77b4-4e0a-b2e1-5611b990ca3c,7e4c09ab-ab7d-4a13-af99-d043a611e410,bafaee0b-10b7-475f-abe7-2bc15d9afceb,ad72e182-4a20-4b5c-8204-92de8d97da3e,a84e1f3f-768a-4106-b77e-3697a0f96a8e,86f4e629-3746-4f9f-8cf9-989cf6367afa,a0fe47f7-1f70-4786-95d2-edfcdfbe25f1,21a4932a-9cea-4fac-bdd1-c305bf6ade43,44afad52-0417-459c-9951-8ba9457c2092,9d92e206-e5b7-4820-8cc0-709112aabca0,8917c28b-b08d-4b97-8219-43ecb69079bb,9a9aabaf-adee-4180-87cb-e1a4c7fcd33e,e7807347-796f-4aac-997d-07d0c988e109,98cc4474-55f0-4b23-a643-8687ad5853ec,9791361c-7a76-4175-adc9-3104bbdf3ebd,90c3884d-9008-46e9-9379-c1061c0dee87,b63d9d27-e74f-4c6e-8dfe-aa7784bba6f7,26093b61-a5eb-42e1-9c66-d767b8fa131c,005056ba-7cb6-1ed2-bceb-87f71ccd4d30,29b23e79-9606-4911-926d-1f72c57f088f,9f2b85c2-f137-4f96-b4e4-240bd3bfdc8b,30041ebf-0cd8-4b3b-ba03-f1f0aca560df,32647103-5179-436f-82fd-f7407590a226,aa221bd6-3dd1-47ec-a935-e06d4c779a57,11b29c87-d728-4365-95c5-39c5a52418d5,646a461e-2341-4b5f-8f8b-09edc8f7d22c,b5a6d284-d502-425f-bd11-f8acfe874239,61d78973-1b05-4f36-a631-c087db30fdcc,6036f1bd-e690-4518-bc99-733759d2f8c1,39add580-4053-4eb2-8a4a-2744c249c48c,529b7b56-0ff8-4f37-b116-d3b0144bf207,51d4b6fa-a095-1aa0-e100-80009459e03a,51d4b6c6-a095-1aa0-e100-80009459e03a,61f82d94-1280-4fbe-9c36-e3c40d6967ea,4c3ce577-f3db-428c-b5ff-d544c8e8349d,d8d18039-46e8-4e65-8815-37d83b2dc5ac,fa055334-b7bc-4773-9f8a-01c52a9002be,404b23d9-3446-4b68-ab7e-3fdced82c872,005056ba-7cb6-1ed2-bceb-7e82e4910d2a,005056ba-7cb6-1ed2-bceb-7ef561844d2a,005056ba-7cb6-1ed2-bceb-80c585ca6d2b,005056ba-7cb6-1ed2-bceb-82ea369c0d2d,19c2a927-ba55-4480-9606-9388bc51ace8,1b3938ef-cd3a-499a-9a67-e73af8a56739,005056ba-7cb6-1ed2-bceb-91906e8e8d35,005056ba-7cb6-1ed2-bceb-a58e7779cd41,c21ccfa9-5071-4801-a8ad-4653172bf4b6,09ee977e-c04e-4db1-98bf-b507b123423c,5125f112-5d50-4a79-8751-70e7c31fa7fe,a47189f4-0947-4601-ae8e-01c599ba3b66,51d4b474-a095-1aa0-e100-80009459e03a,d4c0774d-ed52-4626-a0d2-500b2319c696,51d4b574-a095-1aa0-e100-80009459e03a,05587e8f-e6b4-4a55-93cd-917b5d37a35a,51d4b683-a095-1aa0-e100-80009459e03a,5bf85d09-ea6b-4146-b23f-4b902e2e1554,5e3c22de-18c6-4715-aa36-bc61244fd431,0e4d959e-743d-41fd-8323-b435a0b458ba,1fe898c5-3a58-4660-aa86-eab4c751a041,dc7f0632-974c-4e2f-a64b-e4f3ea027b46,2b42f1b0-407e-41cc-ad95-107668c4cdec,fbcdf8a7-b6ba-4ec3-ac4c-dde2f0f29934,1704611a-48b0-4003-9003-e0a3ee061d4b,00041414-208c-4444-8888-acdc00000414,cd8ba6a6-6699-1ee4-bced-371b423e881b,2387601d-b2a5-4660-a8a0-a101cb391b49,cd8ba6a6-6bb8-1ed6-85de-47223130c78f,4eb30190-3a75-423f-a29b-845d12263c4e,d08f7052-f3cf-4374-b96b-ee46b55adfcd,eaba7fbc-709f-422d-979f-4d1e4816c6cc,1a3afe4f-3a92-49ac-a453-7bcdf0c4f47b,82119d5d-775f-42af-ac56-000d7c91413f,c46c827b-be21-4444-bb79-930ccc3696c8,011ba4a2-c12b-4d3f-a96d-8cbf1d1e8585,da6f245b-5aa2-419c-b00e-5daf159bdfc1,9266bc0b-6912-628d-d843-3c53b66d6195,9c9d07ab-515a-54aa-0bac-df556a1f654b
64ec825f-740c-477a-b7c2-2121154ee8a7,6.916481,51.223767,0.0,906.62,1213.47,1712.71,1019.91,1079.37,1793.59,1215.28,816.75,1122.55,931.57,1328.23,1572.1,1305.54,1113.61,2023.56,1728.83,1310.66,1146.76,1898.07,1481.22,1085.11,781.92,1110.45,1810.15,498.29,706.11,1446.08,1173.54,1400.67,914.66,1279.12,1030.74,925.93,1574.47,978.78,1005.62,1895.89,1290.32,1861.11,1816.26,1641.2,1105.49,1136.99,1498.72,896.74,1279.01,1014.34,1812.21,1351.31,1419.02,839.19,1047.16,1624.17,1228.33,1372.84,1170.35,2012.23,1172.72,1321.88,906.2,1640.31,1660.94,1496.8,1242.86,1183.28,1449.98,1678.75,579.61,841.89,743.19,913.6,301.8,1912.62,593.55,844.53,1047.97,1460.5,1339.28,1261.0,598.08,811.0,1516.99,1008.65,1058.53,1771.96,584.3,1237.09,918.92,1786.46,1197.52,1805.28,1192.98,1018.44,1199.68,1479.93,1438.25,1720.98,1500.78,679.37,1058.89,874.19,306.86,1234.87,1433.0,2025.06,839.78,1171.56,1509.65,1741.02,1306.12,1956.91,811.94,1118.35,952.92,779.31,945.21,1990.63,1733.88,987.61,1146.98,1875.6,1015.65,1599.86,924.25,713.65,1436.9,1437.3,1895.89,1141.87
fd99c048-3b6b-4943-8b93-838daefba76b,6.841084,51.197512,932.1,0.0,881.74,1380.97,719.36,747.64,1222.59,971.94,393.11,506.58,631.02,1513.52,1240.37,1446.77,732.01,1455.48,1157.84,1451.89,1075.89,1329.98,1622.46,319.61,709.73,1031.06,1478.42,967.92,647.58,1354.05,969.85,1140.78,421.39,875.4,730.19,1067.17,1607.61,179.23,659.98,1564.15,719.02,1652.8,1484.53,1782.44,643.96,1278.22,1166.98,596.18,1075.32,364.88,1321.53,990.03,990.93,768.32,650.76,1174.64,1401.83,1253.35,838.62,1836.11,885.33,960.59,456.49,1310.51,1174.24,1486.84,1453.51,1324.52,882.26,1497.76,740.07,541.34,426.63,842.73,1032.88,1736.49,626.01,773.66,355.31,1128.77,1079.4,897.57,338.41,851.8,1185.26,569.8,939.03,1440.22,945.62,905.35,374.11,1454.73,827.69,1234.28,1073.49,547.93,1376.45,1148.2,1106.52,1389.24,1169.05,355.68,522.31,496.13,661.58,903.13,1173.11,1531.32,539.23,667.12,1456.45,1654.95,974.38,1388.83,327.5,998.85,431.14,820.11,874.34,1510.29,1402.15,291.76,1357.63,1667.29,366.2,1633.0,1065.48,397.09,1233.21,1233.61,1564.15,1352.52
1241bc5a-5571-4cee-bce0-d0ab82000d8c,6.763259,51.20101,1188.47,821.98,0.0,916.49,965.98,228.3,778.76,818.03,517.94,547.74,715.04,1496.73,775.88,1693.28,262.97,1011.64,714.0,1698.41,1322.41,886.15,1599.03,726.94,956.24,1277.67,784.29,1214.44,1084.64,1297.42,913.23,922.72,862.44,262.33,976.81,1313.68,1309.55,832.45,895.15,1099.67,450.04,1188.32,792.42,2028.95,472.81,1524.73,702.5,715.37,1018.7,562.95,786.35,216.07,747.66,1014.83,320.05,730.8,1507.24,1245.32,89.75,1371.62,906.68,186.63,740.11,956.22,730.41,1198.09,1610.63,1571.03,636.61,1150.35,986.58,726.2,550.72,1089.24,1279.39,1272.01,1168.8,1020.17,667.44,436.66,905.95,857.94,1044.97,1318.67,816.18,710.85,1112.94,975.74,1192.13,550.56,815.17,990.25,939.85,790.45,1178.9,772.59,1622.96,683.71,642.04,924.76,669.06,1062.23,693.59,834.75,908.09,548.34,955.05,999.19,785.84,723.2,1399.83,1307.54,610.82,944.99,605.32,1086.55,620.16,1238.47,1120.85,1066.46,937.66,874.22,1604.14,1202.81,564.27,1334.94,1311.99,591.66,1176.59,1176.99,1099.67,1599.03
127035c1-a7c7-41db-9976-ab4cd14b7271,6.671111,51.2071037,1837.76,1471.27,898.54,0.0,1615.27,1044.56,874.06,1338.68,1167.23,1317.52,1431.19,1556.71,530.05,1786.7,1079.23,742.36,741.21,1791.82,1971.7,613.65,1666.08,1443.27,1605.53,1926.96,353.83,1863.73,1757.52,1442.55,1338.41,1188.02,1595.02,1014.69,1626.1,1775.17,1490.62,1548.78,1568.02,718.72,1086.05,807.36,276.1,2122.36,1188.96,1674.28,425.32,1431.53,1371.67,1279.11,511.9,926.85,1146.92,1664.12,1136.31,864.5,1661.96,1591.33,906.01,990.67,1365.73,897.41,1389.4,1133.49,864.11,1241.59,1677.68,1730.8,1282.24,1169.32,1635.87,1437.24,1200.01,1738.54,1928.68,891.05,1885.93,1669.46,1398.45,590.33,1206.59,1418.52,1694.26,1892.6,819.85,1427.01,1538.13,293.56,1776.27,667.75,1547.74,609.29,1500.43,720.0,1604.08,1437.26,1753.51,527.07,422.5,715.83,697.64,1711.52,1398.74,1567.33,1557.38,807.11,1220.35,469.52,1435.13,1329.78,1459.81,1469.53,614.49,675.71,1254.61,1511.73,1336.32,1807.77,1770.14,797.17,556.71,1590.55,1700.81,821.85,1280.43,1516.02,1773.49,1240.95,1524.9,1525.3,718.72,1695.7
d7376c09-b449-4948-8706-15777971f03c,6.904963,51.1380043,1031.08,794.69,1189.11,1690.59,0.0,1055.01,1769.23,1602.28,794.63,1100.43,522.89,1628.02,1549.98,1535.9,1089.25,2001.44,1704.47,1541.02,1157.33,1875.94,1711.59,1054.42,798.86,934.82,1788.03,1057.05,1293.0,1676.45,1679.23,1771.11,1156.2,1254.76,155.58,1156.3,1804.83,914.04,1379.87,1873.77,1268.2,1962.41,1794.14,1871.57,713.57,1367.35,1476.59,488.06,1711.53,981.44,1790.09,1326.95,1621.26,857.45,1025.04,1721.27,1528.12,1811.41,1145.99,2145.72,1594.71,1297.52,664.53,1914.32,1720.88,1727.16,1542.64,1413.65,1474.73,1909.11,829.2,497.48,721.07,859.28,1122.01,2046.1,1180.44,862.79,1025.85,1438.38,1709.73,1586.48,922.9,1397.9,1494.87,599.98,1645.43,1749.84,1034.75,1214.96,1108.93,1764.34,1537.07,1780.92,1779.88,1257.31,1465.58,1457.81,1416.13,1698.85,1478.66,1004.2,1178.31,1230.94,750.71,1212.74,1803.44,2002.93,215.05,1297.45,1740.01,1971.39,1284.0,1934.79,589.16,1705.24,888.52,1366.21,963.47,1968.51,1711.76,1026.57,1446.76,1976.9,982.76,1830.23,1154.61,691.53,1744.98,1745.37,1873.77,1441.65
8d3cd774-8fb2-41d4-856a-26b299bfb8d8,6.774994,51.200851,1103.08,736.59,199.74,940.8,880.59,0.0,839.73,898.88,432.55,444.52,629.65,1577.57,800.19,1607.9,159.75,1072.62,774.98,1613.02,1237.02,947.12,1679.87,623.72,870.86,1192.29,905.8,1129.05,981.42,1378.27,994.07,1013.38,759.22,265.38,891.42,1228.29,1418.24,729.23,791.93,1123.98,363.07,1212.62,913.93,1943.56,387.42,1439.35,726.8,629.99,1099.54,477.56,907.85,337.58,828.95,929.45,216.83,791.78,1533.78,1326.17,156.62,1395.93,936.93,308.14,654.72,1071.79,791.39,1306.79,1614.64,1485.65,632.21,1259.05,901.19,640.81,465.34,1003.86,1194.0,1296.31,1065.58,934.79,564.22,558.17,986.79,888.18,959.58,1215.45,745.08,625.47,1070.98,1000.05,1106.75,465.17,711.95,1014.55,897.98,851.42,1205.43,669.37,1537.58,708.02,666.34,949.07,728.87,976.85,590.37,731.53,822.71,462.95,1045.71,1120.7,700.46,630.89,1480.67,1416.24,534.21,1005.97,519.93,1130.8,534.78,1135.25,1035.46,1127.43,961.97,771.0,1518.76,1227.11,478.88,1443.64,1226.61,506.27,1257.43,1257.83,1123.98,1513.65
d27a7d15-3fc1-4880-88bd-e981ff6ed5f9,6.72268,51.246,1790.98,1199.78,886.97,855.27,1568.5,782.54,0.0,767.92,1067.6,804.94,1403.18,1278.95,1111.58,1501.86,819.21,358.9,216.59,1506.99,1924.92,350.05,1381.25,984.14,1558.76,1880.19,606.58,1816.95,1244.94,1047.87,767.66,617.27,1082.44,768.51,1579.32,1498.51,1076.37,1089.65,1045.85,825.51,573.47,682.74,659.24,1837.53,1160.95,1397.62,1020.07,1403.51,800.91,1251.09,413.75,704.28,576.16,1617.35,737.95,256.46,1361.67,1099.75,877.03,1030.34,794.98,674.84,1342.63,729.92,256.07,964.92,1392.85,1454.13,675.87,917.17,1589.09,1390.47,1153.24,1691.76,1881.91,930.72,1337.52,1622.69,906.12,854.68,635.84,847.77,1368.83,1321.84,1228.12,1398.99,967.38,707.01,1499.6,1076.02,1035.16,716.08,929.68,241.5,1033.33,924.68,1476.84,935.34,959.61,1154.77,1086.03,1317.55,886.16,1054.75,1510.61,1215.38,649.6,538.13,1388.36,817.2,1182.05,1074.37,1022.76,375.47,1207.83,940.98,1308.3,1237.01,1723.37,387.79,663.5,1111.72,1424.14,697.74,1252.41,1101.77,1496.82,1194.18,958.81,959.2,825.51,1419.03
a9b14f40-30ee-4550-b998-55f2981c6025,6.796692,51.247859,1263.82,959.28,957.65,1355.97,1487.03,865.67,741.24,0.0,881.04,590.29,1398.69,711.22,1485.08,934.14,829.7,999.18,719.5,939.27,1812.17,922.9,813.53,743.63,1434.9,1798.73,1107.27,1676.93,624.72,511.92,127.72,307.74,669.59,840.06,1497.86,958.05,765.48,835.94,422.94,1280.48,622.91,1043.25,1159.93,1269.81,1244.07,857.16,1411.7,1363.85,233.19,1156.22,914.45,774.96,272.96,1511.32,748.45,531.24,721.73,459.82,947.71,1194.37,127.84,745.52,1261.16,547.39,568.02,666.64,825.13,913.68,389.3,734.64,1443.53,1309.01,1071.78,1604.96,1484.64,1094.75,697.58,1532.04,637.33,1145.86,246.36,264.04,936.45,681.91,1525.38,1374.48,327.44,1207.71,959.15,1321.83,660.83,1171.06,330.45,827.2,393.39,458.92,936.39,1390.32,1351.24,1609.75,1378.26,885.16,524.73,612.99,1293.35,1319.61,340.08,1124.23,1306.9,316.54,614.33,891.84,1320.02,981.74,1126.37,301.04,1213.44,597.08,1641.91,1028.07,1118.48,753.71,837.5,1057.73,1157.54,790.88,956.37,1112.71,391.09,391.48,1280.48,832.39
69d4d0be-ab2b-4e65-ac9e-2a1fca892e90,6.813494,51.193808,843.17,421.28,503.31,1002.55,620.68,369.21,1061.78,904.05,0.0,402.21,532.33,1440.1,861.94,1347.99,396.31,1294.67,997.02,1353.11,977.11,1169.17,1523.67,372.44,610.95,932.37,1099.99,869.14,871.14,1365.21,981.01,1072.89,561.59,568.96,631.51,968.38,1550.79,477.95,681.65,1185.73,558.21,1274.37,1106.1,1683.65,559.9,1179.44,788.56,497.5,1086.48,289.87,1102.05,641.15,923.04,669.54,315.05,1013.82,1340.2,1275.01,460.19,1457.68,896.49,611.72,394.81,1204.34,1013.43,1439.34,1354.73,1225.73,764.75,1391.59,641.28,442.65,205.43,743.95,934.09,1358.06,863.95,674.88,327.63,750.34,1011.51,888.26,699.67,1105.17,806.83,508.13,960.7,1061.8,846.84,526.93,514.32,1076.3,838.85,1073.47,1095.15,559.09,1277.67,769.77,728.09,1010.82,790.62,716.94,480.09,621.26,562.8,524.71,1105.22,1314.9,440.55,599.23,1467.62,1548.79,595.96,1228.02,260.02,1020.52,347.08,1024.97,775.55,1280.47,1023.72,519.72,1258.85,1288.86,291.19,1576.19,966.7,246.36,1244.38,1244.77,1185.73,1253.73
ce4a5ad3-003a-490b-92b4-c00d5a17ce1b,6.797591,51.21279,1182.55,499.75,533.44,1274.5,973.57,342.72,794.25,626.5,367.57,0.0,885.22,1257.64,1133.89,1509.88,306.75,1027.14,729.5,1515.0,1329.99,901.64,1389.26,284.1,963.83,1285.26,1086.02,1222.03,593.59,1087.66,703.46,795.34,371.39,447.06,984.4,1321.27,1267.52,389.62,404.1,1259.23,290.68,1347.88,1138.68,1845.55,721.12,1289.56,1060.51,850.39,808.93,642.76,893.19,561.69,645.48,1022.42,225.5,746.3,1145.94,997.46,490.32,1531.18,618.94,532.25,747.7,921.07,745.91,1156.07,1257.07,1346.08,481.48,1108.32,994.17,795.54,558.31,1096.83,1286.98,1431.56,677.75,1027.76,195.08,891.87,733.96,610.71,657.79,827.62,1078.78,861.01,683.15,1186.45,1199.72,798.88,324.12,1149.81,561.3,805.94,817.6,281.54,1368.78,1041.72,1000.04,1282.77,1062.58,606.5,202.54,343.7,915.68,796.66,827.67,1102.98,793.43,321.68,1190.06,1265.52,867.91,960.49,612.91,742.96,699.97,747.42,1128.44,1081.95,1097.22,400.67,1261.71,1362.36,644.07,1292.92,1319.58,599.25,966.82,967.22,1259.23,1256.6
