,uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json,file_date
115,64ec825f-740c-477a-b7c2-2121154ee8a7,TotalEnergies Erkrath,TotalEnergies,Kirchstr. ,23,40699,Erkrath,51.223767,6.916481,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""07:00"",""endp"":""20:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""20:00""}]}]}",2023-05-06
260,fd99c048-3b6b-4943-8b93-838daefba76b,Shell Duesseldorf Karlsruher Str. 45,Shell,Karlsruher Str.,45,40229,Duesseldorf,51.197512,6.841084,2014-03-18 16:45:31+01,{},2023-05-06
393,1241bc5a-5571-4cee-bce0-d0ab82000d8c,Aral Tankstelle,ARAL,Südring,115,40221,Düsseldorf,51.20101,6.763259,2014-03-18 16:45:31+01,{},2023-05-06
451,127035c1-a7c7-41db-9976-ab4cd14b7271,Aral Tankstelle,ARAL,Engelbertstraße,,41462,Neuss,51.2071037,6.671111,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""23:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-06
462,d7376c09-b449-4948-8706-15777971f03c,Aral Tankstelle,ARAL,Frankfurter Straße,323,40595,Düsseldorf,51.1380043,6.904963,2014-03-18 16:45:31+01,{},2023-05-06
494,8d3cd774-8fb2-41d4-856a-26b299bfb8d8,Shell Duesseldorf Suedring 9,Shell,Suedring,9,40223,Duesseldorf,51.200851,6.774994,2014-03-18 16:45:31+01,{},2023-05-06
645,d27a7d15-3fc1-4880-88bd-e981ff6ed5f9,OIL! Tankstelle Düsseldorf,OIL!,Löricker Str. 41,,40547,Düsseldorf,51.246,6.72268,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":192,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]},{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",2023-05-06
747,a9b14f40-30ee-4550-b998-55f2981c6025,Esso Tankstelle,ESSO,MUENSTERSTR. 245, ,40470,DUESSELDORF,51.247859,6.796692,2014-03-18 16:45:31+01,{},2023-05-06
775,69d4d0be-ab2b-4e65-ac9e-2a1fca892e90,Shell Duesseldorf Koelner Landstr. 73,Shell,Koelner Landstr.,73,40591,Duesseldorf,51.193808,6.813494,2014-03-18 16:45:31+01,{},2023-05-06
806,ce4a5ad3-003a-490b-92b4-c00d5a17ce1b,Shell Duesseldorf Kruppstr. 55,Shell,Kruppstr.,55,40227,Duesseldorf,51.21279,6.797591,2014-03-18 16:45:31+01,{},2023-05-06
910,bc554df8-1200-4072-9afc-5759e749b43d,Shell Duesseldorf Caecilienstr. 30,Shell,Caecilienstr.,30,40597,Duesseldorf,51.165996,6.873567,2014-03-18 16:45:31+01,{},2023-05-06
992,9533193d-3024-4fe2-a0c3-c6d660087112,Aral Tankstelle,ARAL,Volkardeyer Straße,54,40878,Ratingen,51.288662,6.827508,2014-03-18 16:45:31+01,{},2023-05-06
1011,cba0a43e-e52f-476a-a047-8f7138f3f646,Aral Tankstelle,ARAL,Bergheimer Straße,252,41464,Neuss,51.18164,6.688258,2014-03-18 16:45:31+01,{},2023-05-06
1102,14a9f9a8-fb49-45fc-b946-51c791e60990,Aral Tankstelle,ARAL,Am Krummenweg,9,40885,Ratingen,51.33845,6.869088,2014-03-18 16:45:31+01,{},2023-05-06
1183,b30c887a-3f9b-4890-a2c1-60b5f09d98b6,Shell Duesseldorf Aufm Hennekamp 5,Shell,Aufm Hennekamp,5,40225,Duesseldorf,51.202396,6.781376,2014-03-18 16:45:31+01,{},2023-05-06
1225,c5bd15b5-5019-4421-8c85-25a21b4642e1,Elan Meerbusch,ELAN,Duesseldorfer Str. ,23,40667,Meerbusch,51.249692,6.690727,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-06
1502,e1dc26cc-82e0-4d77-b6ac-9af9d7c0832a,Aral Tankstelle,ARAL,Pariser Straße,82,40549,Düsseldorf,51.2333336,6.727858,2014-03-18 16:45:31+01,{},2023-05-06
1589,e43c09b0-5baa-4738-962a-c94388e93c30,Esso Tankstelle,ESSO,AM KRUMMENWEG 2, ,40885,RATINGEN,51.338806,6.868755,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":127,""periods"":[{""startp"":""06:00"",""endp"":""22:30""}]}]}",2023-05-06
1698,e6c55dfa-c64b-44e1-913b-58e216d614e5,Shell Hilden Walder Str. 425,Shell,Walder Str.,425,40724,Hilden,51.167922,6.983746,2014-03-18 16:45:31+01,{},2023-05-06
1832,e9dbe860-031d-42d2-a96c-8a958df9f764,Shell Meerbusch Neusser Str. 19b,Shell,Neusser Str.,19b,40667,Meerbusch,51.242918,6.698049,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":255,""periods"":[{""startp"":""05:00"",""endp"":""23:00""}]}]}",2023-05-06
1995,c73fa27f-764e-44c3-9e2d-73d6faa8ae84,Shell Ratingen Speestr.,Shell,Speestr.,,40885,Ratingen,51.336911,6.83471,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":224,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",2023-05-06
2015,ee34d5a4-be1a-2a3a-e040-0b0a3dfe5d3f,"Düsseldorf, Karl-Geusen-Str. 171a",HEM,Karl-Geusen-Str.,171a,40231,Düsseldorf,51.206769,6.822315,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":32,""periods"":[{""startp"":""06:00"",""endp"":""00:00""}]},{""applicable_days"":31,""periods"":[{""startp"":""05:00"",""endp"":""00:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""08:00"",""endp"":""00:00""}]}]}",2023-05-06
2084,f027019a-34a2-45e8-b051-9270f8634cf7,Aral Tankstelle,ARAL,Haaner Straße,77,40699,Erkrath,51.2044067,6.97023,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",2023-05-06
2163,f254c89f-274e-45ba-b1f6-b73deafdef93,TotalEnergies Hilden,TotalEnergies,Richrather Str. ,116,40723,Hilden,51.158335,6.938557,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:30""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:30""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:30""}]}]}",2023-05-06
2497,fa6624d4-7bb9-4b17-9e56-31e0040428d1,Shell Neuss Düsseldorferstr. 67,Shell,Düsseldorferstr.,67,41460,Neuss,51.214256,6.693751,2014-03-18 16:45:31+01,{},2023-05-06
