uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json,file_date
ad812258-94e7-473d-aa80-d392f7532218,bft Bonn-Bad Godesberg,bft,Godesberger Allee,55,53175,Bonn,50.6951,7.14276,1970-01-01 01:00:00+01,"{""openingTimes"":[{""applicable_days"":30,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":65,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
e1a15081-2544-9107-e040-0b0a3dfe563c,"Werne, Kamener Str. 5",HEM,Kamener Str.,5,59368,Werne,51.661075,7.638393,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":192,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]}]}",2023-05-01
ca3b5143-e75e-481d-9f53-cfbd683d2758,TOTAL KOELN,TOTAL,EHRENFELDGUERTEL 2,,50823,KOELN,50.948575,6.915448,2014-03-18 16:45:31+01,{},2023-05-01
e1a15081-2537-9107-e040-0b0a3dfe563c,"Soest, Kirchweg 14",TAMOIL,Kirchweg,14,59494,Soest,51.5475,8.133,2014-03-18 16:45:31+01,{},2023-05-01
1ddb2973-fc8a-4bc6-b580-daa7528bb445,Aral Tankstelle,ARAL,Lemgoer Straße,45,32683,Barntrup,51.99375,9.09931,2014-03-18 16:45:31+01,{},2023-05-01
dc6459db-3618-4c30-96ae-12ec3e3af9ce,Raiffeisen Westfalen Mitte eG,Raiffeisen,Lütke Haar,1,59602,Rüthen,51.504066,8.413242,2014-03-18 16:45:31+01,{},2023-05-01
fcd0e601-880c-4e88-90ab-e8ec6075ae8d,B1 Biermann Energie,,Höingstraße,2,59425,Unna,51.539168,7.699313,2014-03-18 16:45:31+01,{},2023-05-01
e1a15081-250a-9107-e040-0b0a3dfe563c,"Korschenbroich, Robert-Bosch-Str. 2",SB,Robert-Bosch-Str.,2,41352,Korschenbroich,51.194751,6.506017,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":32,""periods"":[{""startp"":""08:00"",""endp"":""21:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""10:00"",""endp"":""18:00""}]},{""applicable_days"":31,""periods"":[{""startp"":""07:00"",""endp"":""21:00""}]}]}",2023-05-01
e1a15081-24f3-9107-e040-0b0a3dfe563c,"Grevenbroich, Bergheimer Str. 12",HEM,Bergheimer Str.,12,41515,Grevenbroich,51.08973,6.582075,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":192,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]}]}",2023-05-01
e1a15081-24e9-9107-e040-0b0a3dfe563c,"Geldern, Geldertor 1",HEM,Geldertor,1,47608,Geldern,51.515019,6.327776,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]},{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]}]}",2023-05-01
