uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json,file_date
ad812258-94e7-473d-aa80-d392f7532218,bft Bonn-Bad Godesberg,bft,Godesberger Allee,55,53175,Bonn,50.6951,7.14276,1970-01-01 01:00:00+01,"{""openingTimes"":[{""applicable_days"":30,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":65,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
ca3b5143-e75e-481d-9f53-cfbd683d2758,TOTAL KOELN,TOTAL,EHRENFELDGUERTEL 2,,50823,KOELN,50.948575,6.915448,2014-03-18 16:45:31+01,{},2023-05-01
e1a15081-250a-9107-e040-0b0a3dfe563c,"Korschenbroich, Robert-Bosch-Str. 2",SB,Robert-Bosch-Str.,2,41352,Korschenbroich,51.194751,6.506017,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":32,""periods"":[{""startp"":""08:00"",""endp"":""21:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""10:00"",""endp"":""18:00""}]},{""applicable_days"":31,""periods"":[{""startp"":""07:00"",""endp"":""21:00""}]}]}",2023-05-01
e1a15081-24f3-9107-e040-0b0a3dfe563c,"Grevenbroich, Bergheimer Str. 12",HEM,Bergheimer Str.,12,41515,Grevenbroich,51.08973,6.582075,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":192,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]}]}",2023-05-01
684c1513-9033-4b73-be2c-65d27c52fc67,Ernst Vollmer,Markant,Düsseldorfer Landstr.,343,47259,Duisburg,51.36332,6.75035,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:30"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
e189ab38-9131-486e-ab25-d6317412274e,Esso Tankstelle,ESSO,AUF DER HEIDE 22, ,52223,STOLBERG,50.73184136,6.210677352,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""20:00""}]},{""applicable_days"":96,""periods"":[{""startp"":""08:00"",""endp"":""20:00""}]}]}",2023-05-01
e11f0792-5965-4d7d-a76a-050878b44297,TotalEnergies Solingen,TotalEnergies,Oststr. ,5,42651,Solingen,51.171938,7.089516,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""05:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
689a63e1-0d41-46b2-9ff5-17d71519109d,TotalEnergies Wuppertal,TotalEnergies,Jesinghauser Str. ,110,42389,Wuppertal,51.282761,7.256123,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""05:00"",""endp"":""23:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""23:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""23:00""}]}]}",2023-05-01
e0d29e4b-7bdc-4919-9410-f3ab9c862775,Aral Tankstelle,ARAL,Potsdamer Platz,2,53119,Bonn,50.7430649,7.078459,2014-03-18 16:45:31+01,{},2023-05-01
14791eab-7bcb-427d-bfa5-3513796a5e54,Sb Stolberg Würselener Straße 3-19,SB,Würselener Straße,3-19,52222,Stolberg,50.787685,6.211536,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":255,""periods"":[{""startp"":""06:00"",""endp"":""23:00""}]}]}",2023-05-01
