Unnamed: 0,date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH
0,2014-01-30,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
1,2014-01-31,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
2,2014-02-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2014-02-02,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2014-02-03,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False
5,2014-02-04,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False
6,2014-02-05,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False
7,2014-02-06,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False
8,2014-02-07,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False
9,2014-02-08,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
10,2014-02-09,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
11,2014-02-10,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
12,2014-02-11,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
13,2014-02-12,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
14,2014-02-13,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
15,2014-02-14,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
16,2014-02-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,2014-02-16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,2014-02-17,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
19,2014-02-18,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
20,2014-02-19,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
21,2014-02-20,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
22,2014-02-21,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
