,date,diesel_mean,e5_mean,e10_mean
0,2014-06-08,1.339,1.556,1.5
1,2014-06-09,1.371,1.582,1.514
2,2014-06-10,1.361,1.578,1.523
3,2014-06-11,1.364,1.586,1.531
4,2014-06-12,1.364,1.589,1.534
5,2014-06-13,1.375,1.597,1.542
6,2014-06-14,1.39,1.607,1.552
7,2014-06-15,1.386,1.604,1.548
8,2014-06-16,1.378,1.599,1.543
9,2014-06-17,1.389,1.605,1.55
10,2014-06-18,1.382,1.604,1.535
11,2014-06-19,1.401,1.618,1.562
12,2014-06-20,1.385,1.606,1.55
13,2014-06-21,1.395,1.612,1.557
14,2014-06-22,1.403,1.62,1.564
15,2014-06-23,1.387,1.607,1.538
16,2014-06-24,1.388,1.611,1.556
17,2014-06-25,1.383,1.61,1.555
18,2014-06-26,1.392,1.617,1.561
19,2014-06-27,1.384,1.609,1.555
20,2014-06-28,1.402,1.627,1.572
21,2014-06-29,1.394,1.617,1.561
22,2014-06-30,1.379,1.611,1.543
23,2014-07-01,1.379,1.614,1.559
24,2014-07-02,1.378,1.615,1.56
25,2014-07-03,1.373,1.608,1.553
26,2014-07-04,1.378,1.613,1.558
27,2014-07-05,1.386,1.612,1.557
28,2014-07-06,1.386,1.613,1.558
29,2014-07-07,1.369,1.602,1.547
30,2014-07-08,1.371,1.603,1.548
31,2014-07-09,1.37,1.608,1.552
32,2014-07-10,1.367,1.608,1.553
33,2014-07-11,1.362,1.601,1.546
34,2014-07-12,1.365,1.6,1.545
35,2014-07-13,1.366,1.598,1.543
36,2014-07-14,1.361,1.596,1.541
37,2014-07-15,1.363,1.592,1.536
38,2014-07-16,1.363,1.591,1.536
39,2014-07-17,1.358,1.586,1.531
40,2014-07-18,1.362,1.587,1.532
41,2014-07-19,1.357,1.581,1.526
42,2014-07-20,1.364,1.583,1.528
43,2014-07-21,1.355,1.573,1.519
44,2014-07-22,1.359,1.585,1.53
45,2014-07-23,1.354,1.571,1.517
46,2014-07-24,1.358,1.576,1.521
47,2014-07-25,1.367,1.583,1.528
48,2014-07-26,1.374,1.58,1.525
49,2014-07-27,1.381,1.587,1.532
50,2014-07-28,1.366,1.575,1.52
51,2014-07-29,1.366,1.572,1.503
52,2014-07-30,1.369,1.576,1.508
53,2014-07-31,1.364,1.575,1.52
54,2014-08-01,1.372,1.572,1.517
55,2014-08-02,1.368,1.577,1.523
56,2014-08-03,1.372,1.575,1.521
57,2014-08-04,1.358,1.566,1.512
58,2014-08-05,1.37,1.564,1.509
59,2014-08-06,1.372,1.565,1.512
60,2014-08-07,1.365,1.556,1.501
61,2014-08-08,1.366,1.552,1.498
62,2014-08-09,1.378,1.564,1.509
63,2014-08-10,1.383,1.569,1.514
64,2014-08-11,1.369,1.565,1.51
65,2014-08-12,1.368,1.561,1.506
66,2014-08-13,1.358,1.554,1.499
67,2014-08-14,1.359,1.559,1.504
68,2014-08-15,1.362,1.556,1.488
69,2014-08-16,1.369,1.555,1.5
70,2014-08-17,1.378,1.565,1.51
71,2014-08-18,1.358,1.549,1.494
72,2014-08-19,1.362,1.558,1.503
73,2014-08-20,1.352,1.55,1.495
74,2014-08-21,1.363,1.558,1.504
75,2014-08-22,1.359,1.558,1.503
76,2014-08-23,1.365,1.562,1.507
77,2014-08-24,1.383,1.58,1.525
78,2014-08-25,1.36,1.556,1.502
79,2014-08-26,1.362,1.562,1.507
80,2014-08-27,1.36,1.57,1.515
81,2014-08-28,1.364,1.571,1.516
82,2014-08-29,1.363,1.569,1.514
83,2014-08-30,1.377,1.577,1.522
84,2014-08-31,1.379,1.571,1.516
85,2014-09-01,1.362,1.567,1.512
86,2014-09-02,1.362,1.566,1.511
87,2014-09-03,1.362,1.569,1.515
88,2014-09-04,1.362,1.567,1.513
89,2014-09-05,1.354,1.555,1.488
90,2014-09-06,1.374,1.574,1.519
91,2014-09-07,1.38,1.58,1.525
92,2014-09-08,1.361,1.56,1.506
93,2014-09-09,1.365,1.567,1.513
94,2014-09-10,1.361,1.563,1.508
95,2014-09-11,1.363,1.565,1.51
96,2014-09-12,1.36,1.564,1.509
97,2014-09-13,1.359,1.56,1.505
98,2014-09-14,1.379,1.577,1.521
99,2014-09-15,1.357,1.557,1.502
100,2014-09-16,1.355,1.559,1.504
101,2014-09-17,1.349,1.552,1.497
102,2014-09-18,1.356,1.563,1.509
103,2014-09-19,1.341,1.544,1.49
104,2014-09-20,1.36,1.561,1.506
105,2014-09-21,1.359,1.56,1.504
106,2014-09-22,1.355,1.554,1.499
107,2014-09-23,1.354,1.559,1.505
108,2014-09-24,1.347,1.557,1.502
109,2014-09-25,1.345,1.553,1.498
110,2014-09-26,1.347,1.552,1.484
111,2014-09-27,1.354,1.556,1.501
112,2014-09-28,1.358,1.559,1.504
113,2014-09-29,1.351,1.556,1.501
114,2014-09-30,1.353,1.554,1.499
115,2014-10-01,1.359,1.557,1.503
116,2014-10-02,1.355,1.552,1.498
117,2014-10-03,1.36,1.56,1.504
118,2014-10-04,1.351,1.554,1.499
119,2014-10-05,1.359,1.563,1.507
120,2014-10-06,1.339,1.551,1.497
121,2014-10-07,1.339,1.548,1.493
122,2014-10-08,1.329,1.543,1.489
123,2014-10-09,1.331,1.545,1.49
124,2014-10-10,1.33,1.542,1.487
125,2014-10-11,1.311,1.523,1.456
126,2014-10-12,1.326,1.537,1.482
127,2014-10-13,1.322,1.534,1.479
128,2014-10-14,1.317,1.529,1.461
129,2014-10-15,1.311,1.509,1.455
130,2014-10-16,1.302,1.495,1.44
131,2014-10-17,1.287,1.481,1.427
132,2014-10-18,1.295,1.487,1.433
133,2014-10-19,1.305,1.49,1.435
134,2014-10-20,1.293,1.481,1.426
135,2014-10-21,1.3,1.488,1.433
136,2014-10-22,1.295,1.47,1.415
137,2014-10-23,1.299,1.477,1.422
138,2014-10-24,1.304,1.48,1.412
139,2014-10-25,1.306,1.478,1.424
140,2014-10-26,1.306,1.478,1.422
141,2014-10-27,1.297,1.47,1.416
142,2014-10-28,1.298,1.473,1.418
143,2014-10-29,1.301,1.473,1.419
144,2014-10-30,1.3,1.472,1.417
145,2014-10-31,1.303,1.476,1.422
146,2014-11-01,1.326,1.497,1.442
147,2014-11-02,1.31,1.482,1.426
148,2014-11-03,1.309,1.478,1.411
149,2014-11-04,1.314,1.477,1.422
150,2014-11-05,1.304,1.475,1.42
151,2014-11-06,1.308,1.477,1.422
152,2014-11-07,1.303,1.471,1.416
153,2014-11-08,1.32,1.484,1.429
154,2014-11-09,1.315,1.481,1.426
155,2014-11-10,1.313,1.476,1.421
156,2014-11-11,1.319,1.483,1.428
157,2014-11-12,1.312,1.478,1.424
158,2014-11-13,1.305,1.474,1.419
159,2014-11-14,1.302,1.469,1.415
160,2014-11-15,1.307,1.474,1.419
161,2014-11-16,1.313,1.482,1.426
162,2014-11-17,1.295,1.463,1.408
163,2014-11-18,1.294,1.462,1.393
164,2014-11-19,1.282,1.457,1.403
165,2014-11-20,1.276,1.45,1.395
166,2014-11-21,1.279,1.455,1.4
167,2014-11-22,1.288,1.462,1.408
168,2014-11-23,1.296,1.468,1.413
169,2014-11-24,1.283,1.456,1.402
170,2014-11-25,1.284,1.462,1.407
171,2014-11-26,1.279,1.457,1.403
172,2014-11-27,1.276,1.454,1.387
173,2014-11-28,1.264,1.444,1.389
174,2014-11-29,1.255,1.433,1.378
175,2014-11-30,1.264,1.438,1.383
176,2014-12-01,1.251,1.437,1.383
177,2014-12-02,1.239,1.42,1.365
178,2014-12-03,1.245,1.409,1.355
179,2014-12-04,1.234,1.395,1.328
180,2014-12-05,1.236,1.392,1.338
181,2014-12-06,1.226,1.385,1.331
182,2014-12-07,1.228,1.393,1.338
183,2014-12-08,1.22,1.376,1.322
184,2014-12-09,1.224,1.375,1.32
185,2014-12-10,1.217,1.373,1.318
186,2014-12-11,1.198,1.365,1.31
187,2014-12-12,1.197,1.355,1.301
188,2014-12-13,1.191,1.347,1.292
189,2014-12-14,1.203,1.355,1.288
190,2014-12-15,1.191,1.343,1.275
191,2014-12-16,1.186,1.338,1.284
192,2014-12-17,1.173,1.328,1.261
193,2014-12-18,1.162,1.316,1.261
194,2014-12-19,1.167,1.321,1.267
195,2014-12-20,1.167,1.319,1.265
196,2014-12-21,1.183,1.34,1.285
197,2014-12-22,1.166,1.317,1.262
198,2014-12-23,1.172,1.323,1.256
199,2014-12-24,1.176,1.323,1.269
200,2014-12-25,1.19,1.335,1.28
201,2014-12-26,1.184,1.333,1.277
202,2014-12-27,1.175,1.325,1.27
203,2014-12-28,1.183,1.332,1.277
204,2014-12-29,1.162,1.314,1.26
205,2014-12-30,1.166,1.319,1.264
206,2014-12-31,1.164,1.314,1.26
207,2015-01-01,1.171,1.325,1.274
208,2015-01-02,1.154,1.31,1.259
209,2015-01-03,1.156,1.309,1.258
210,2015-01-04,1.169,1.323,1.272
211,2015-01-05,1.146,1.304,1.254
212,2015-01-06,1.146,1.305,1.255
213,2015-01-07,1.142,1.3,1.253
214,2015-01-08,1.125,1.293,1.249
215,2015-01-09,1.109,1.286,1.245
216,2015-01-10,1.125,1.289,1.253
217,2015-01-11,1.144,1.303,1.267
218,2015-01-12,1.118,1.283,1.248
219,2015-01-13,1.114,1.278,1.243
220,2015-01-14,1.104,1.269,1.235
221,2015-01-15,1.109,1.274,1.226
222,2015-01-16,1.106,1.272,1.237
223,2015-01-17,1.113,1.278,1.243
224,2015-01-18,1.12,1.286,1.25
225,2015-01-19,1.106,1.279,1.231
226,2015-01-20,1.112,1.277,1.243
227,2015-01-21,1.115,1.276,1.241
228,2015-01-22,1.116,1.277,1.242
229,2015-01-23,1.116,1.277,1.242
230,2015-01-24,1.121,1.283,1.248
231,2015-01-25,1.134,1.295,1.259
232,2015-01-26,1.118,1.281,1.246
233,2015-01-27,1.123,1.281,1.247
234,2015-01-28,1.131,1.284,1.249
235,2015-01-29,1.121,1.28,1.245
236,2015-01-30,1.123,1.285,1.251
237,2015-01-31,1.132,1.294,1.259
238,2015-02-01,1.136,1.304,1.268
239,2015-02-02,1.126,1.291,1.257
240,2015-02-03,1.146,1.314,1.279
241,2015-02-04,1.16,1.326,1.291
242,2015-02-05,1.164,1.326,1.292
243,2015-02-06,1.17,1.333,1.298
244,2015-02-07,1.183,1.344,1.309
245,2015-02-08,1.191,1.353,1.318
246,2015-02-09,1.181,1.342,1.307
247,2015-02-10,1.188,1.35,1.315
248,2015-02-11,1.189,1.348,1.313
249,2015-02-12,1.195,1.352,1.317
250,2015-02-13,1.194,1.347,1.312
251,2015-02-14,1.206,1.357,1.322
252,2015-02-15,1.212,1.354,1.319
253,2015-02-16,1.199,1.35,1.315
254,2015-02-17,1.213,1.362,1.328
255,2015-02-18,1.211,1.361,1.326
256,2015-02-19,1.213,1.361,1.326
257,2015-02-20,1.204,1.355,1.32
258,2015-02-21,1.211,1.361,1.327
259,2015-02-22,1.221,1.367,1.332
260,2015-02-23,1.21,1.363,1.328
261,2015-02-24,1.209,1.364,1.329
262,2015-02-25,1.198,1.352,1.332
263,2015-02-26,1.206,1.36,1.34
264,2015-02-27,1.213,1.367,1.348
265,2015-02-28,1.219,1.375,1.355
266,2015-03-01,1.229,1.386,1.366
267,2015-03-02,1.216,1.378,1.358
268,2015-03-03,1.217,1.38,1.36
269,2015-03-04,1.214,1.389,1.369
270,2015-03-05,1.214,1.394,1.374
271,2015-03-06,1.218,1.395,1.375
272,2015-03-07,1.22,1.396,1.376
273,2015-03-08,1.228,1.403,1.383
274,2015-03-09,1.219,1.397,1.377
275,2015-03-10,1.226,1.404,1.384
276,2015-03-11,1.222,1.409,1.389
277,2015-03-12,1.222,1.411,1.391
278,2015-03-13,1.222,1.414,1.395
279,2015-03-14,1.221,1.414,1.394
280,2015-03-15,1.229,1.422,1.402
281,2015-03-16,1.212,1.411,1.391
282,2015-03-17,1.209,1.404,1.385
283,2015-03-18,1.191,1.396,1.377
284,2015-03-19,1.193,1.398,1.378
285,2015-03-20,1.196,1.4,1.38
286,2015-03-21,1.199,1.402,1.382
287,2015-03-22,1.211,1.408,1.388
288,2015-03-23,1.195,1.398,1.378
289,2015-03-24,1.188,1.397,1.377
290,2015-03-25,1.195,1.406,1.386
291,2015-03-26,1.19,1.407,1.387
292,2015-03-27,1.2,1.42,1.4
293,2015-03-28,1.208,1.427,1.407
294,2015-03-29,1.208,1.433,1.413
295,2015-03-30,1.202,1.428,1.408
296,2015-03-31,1.2,1.427,1.407
297,2015-04-01,1.194,1.424,1.404
298,2015-04-02,1.195,1.423,1.403
299,2015-04-03,1.214,1.44,1.42
300,2015-04-04,1.197,1.426,1.406
301,2015-04-05,1.203,1.433,1.413
302,2015-04-06,1.201,1.427,1.407
303,2015-04-07,1.19,1.422,1.402
304,2015-04-08,1.194,1.417,1.397
305,2015-04-09,1.205,1.426,1.406
306,2015-04-10,1.2,1.422,1.402
307,2015-04-11,1.204,1.425,1.405
308,2015-04-12,1.221,1.437,1.417
309,2015-04-13,1.204,1.422,1.402
310,2015-04-14,1.22,1.436,1.416
311,2015-04-15,1.221,1.438,1.418
312,2015-04-16,1.23,1.447,1.427
313,2015-04-17,1.237,1.454,1.434
314,2015-04-18,1.241,1.456,1.436
315,2015-04-19,1.251,1.469,1.449
316,2015-04-20,1.241,1.462,1.442
317,2015-04-21,1.236,1.459,1.439
318,2015-04-22,1.237,1.464,1.444
319,2015-04-23,1.231,1.463,1.444
320,2015-04-24,1.236,1.47,1.45
321,2015-04-25,1.243,1.472,1.452
322,2015-04-26,1.263,1.492,1.472
323,2015-04-27,1.249,1.479,1.459
324,2015-04-28,1.256,1.486,1.466
325,2015-04-29,1.256,1.488,1.468
326,2015-04-30,1.251,1.478,1.458
327,2015-05-01,1.275,1.503,1.483
328,2015-05-02,1.252,1.484,1.463
329,2015-05-03,1.259,1.491,1.471
330,2015-05-04,1.251,1.481,1.461
331,2015-05-05,1.253,1.483,1.463
